country,year,milk_prod_1000t,butter_prod_1000t,cheese_prod_1000t,milk_powder_prod_1000t,dairy_cow_pop_1000,bovine_pop_1000,farmers_selling_price_100kg,cream_direct_consumption_1000t,processed_drinking_milk_1000t,milk_delivered_to_dairies_1000t,non_salaried_labour_awu,salaried_labour_awu,total_labour_awu,agri_output_basic_price_million_eur,agri_output_producer_price_million_eur,agri_subsidies_million_eur,agri_taxes_million_eur,Butter of cow milk_Export quantity_t,Butter of cow milk_Export value_1000 USD,Butter of cow milk_Import quantity_t,Butter of cow milk_Import value_1000 USD,Cheese from whole cow milk_Export quantity_t,Cheese from whole cow milk_Export value_1000 USD,Cheese from whole cow milk_Import quantity_t,Cheese from whole cow milk_Import value_1000 USD,Raw milk of cattle_Export quantity_t,Raw milk of cattle_Export value_1000 USD,Raw milk of cattle_Import quantity_t,Raw milk of cattle_Import value_1000 USD,Whole milk powder_Export quantity_t,Whole milk powder_Export value_1000 USD,Whole milk powder_Import quantity_t,Whole milk powder_Import value_1000 USD,cap_direct_payments_million_eur
Albania,1961,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1962,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1963,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1964,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1965,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1966,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1967,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1968,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1969,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1970,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1971,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1972,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1973,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1974,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1975,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1976,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1977,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1978,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1979,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1980,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1981,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1982,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1983,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,4300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1984,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,1985,,,,,,,,,,,,,,,,,,0.0,0.0,500.0,400.0,0.0,0.0,706.0,1600.0,0.0,0.0,610.0,100.0,0.0,0.0,0.0,0.0,
Albania,1986,,,,,,,,,,,,,,,,,,0.0,0.0,500.0,420.0,0.0,0.0,1049.0,1700.0,0.0,0.0,164.0,30.0,0.0,0.0,0.0,0.0,
Albania,1987,,,,,,,,,,,,,,,,,,0.0,0.0,497.0,350.0,0.0,0.0,600.0,1300.0,0.0,0.0,532.0,120.0,0.0,0.0,0.0,0.0,
Albania,1988,,,,,,,,,,,,,,,,,,0.0,0.0,495.0,520.0,0.0,0.0,505.0,1400.0,0.0,0.0,349.0,130.0,0.0,0.0,0.0,0.0,
Albania,1989,,,,,,,,,,,,,,,,,,0.0,0.0,579.0,630.0,0.0,0.0,329.0,900.0,0.0,0.0,420.0,70.0,0.0,0.0,0.0,0.0,
Albania,1990,,,,,,,,,,,,,,,,,,0.0,0.0,1103.0,1300.0,0.0,0.0,327.0,720.0,0.0,0.0,445.0,80.0,0.0,0.0,0.0,0.0,
Albania,1991,,,,,,,,,,,,,,,,,,0.0,0.0,3700.0,6000.0,0.0,0.0,2300.0,4000.0,0.0,0.0,120.0,80.0,0.0,0.0,0.0,0.0,
Albania,1992,,,,,,,,,,,,,,,,,,0.0,0.0,8200.0,19000.0,0.0,0.0,2300.0,3000.0,0.0,0.0,120.0,75.0,0.0,0.0,0.0,0.0,
Albania,1993,,,,,,,,,,,,,,,,,,0.0,0.0,10607.0,18000.0,0.0,0.0,2518.0,2239.0,0.0,0.0,65.0,110.0,0.0,0.0,0.0,0.0,
Albania,1994,,,,,,,,,,,,,,,,,,0.0,0.0,5000.0,8000.0,0.0,0.0,5400.0,6900.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0,0.0,
Albania,1995,,,,,,,,,,,,,,,,,,0.0,0.0,4000.0,8000.0,0.0,0.0,3500.0,5500.0,0.0,0.0,250.0,160.0,0.0,0.0,0.0,0.0,
Albania,1996,,,,,,,,,,,,,,,,,,0.0,0.0,1735.0,2975.0,0.0,1.0,632.0,1079.0,0.0,0.0,326.0,229.0,0.0,0.0,125.0,155.0,
Albania,1997,,,,,,,,,,,,,,,,,,0.0,0.0,651.0,1509.0,0.0,0.0,377.0,566.0,0.0,0.0,85.0,44.0,0.0,0.0,67.0,84.0,
Albania,1998,,,,,,,,,,,,,,,,,,0.0,0.0,356.0,989.0,0.0,0.0,429.0,613.0,0.0,0.0,1192.0,726.0,0.0,0.0,291.0,502.0,
Albania,1999,,,,,,,,,,,,,,,,,,0.0,0.0,511.0,928.0,0.0,0.0,157.0,242.0,0.0,0.0,442.0,236.0,0.0,0.0,400.0,611.0,
Albania,2000,,,,,,,,,,,,,,,,,,0.0,0.0,634.0,999.0,0.0,0.0,448.0,965.0,430.0,122.0,964.0,428.0,25.0,7.0,190.0,286.0,
Albania,2001,,,,,,,,,,,,,,,,,,13.0,5.0,640.0,915.0,3.0,5.0,605.0,1473.0,26.0,8.0,1741.0,738.0,0.0,0.0,120.0,204.0,
Albania,2002,,,,,,,,,,,,,,,,,,0.0,0.0,989.0,1299.0,0.0,0.0,996.0,1654.0,0.0,0.0,2450.0,1045.0,0.0,0.0,491.0,793.0,
Albania,2003,,,,,,,,,,,,,,,,,,0.0,0.0,999.0,1550.0,18.0,25.0,1016.0,2133.0,0.0,0.0,3152.0,1686.0,0.0,0.0,224.0,408.0,
Albania,2004,,,,,,,,,,,,,,,,,,0.0,0.0,1350.0,2192.0,4.0,20.0,1070.0,2760.0,0.0,0.0,3909.0,2232.0,0.0,0.0,65.0,85.0,
Albania,2005,,,,,,,,,,,,,,,,,,0.0,0.0,983.0,1703.0,0.0,0.0,1202.0,3250.0,0.0,0.0,2072.0,1200.0,0.0,0.0,88.0,209.0,
Albania,2006,,,,,,,,,,,,,,,,,,0.0,0.0,925.0,1724.0,0.0,0.0,1264.0,3722.0,6.0,2.0,4034.0,2412.0,0.0,0.0,85.0,208.0,
